Event	Model	Japanese	English	Note	Command	Voice
22:00	Sendai Kai Ni	よーる！フタフタマルマール！いいねいいね、夜戦だね！ふぇ？戻れって？えっ…なんでなんで？なんでよ！？	Night~ time~ 2200. Night battles sure are great~ Eh? Go back? What?! Why?!	Shigure... Ooi... Naganami... Yuubari... Shoukaku... Hatsukaze... Zuikaku... Nagato... Kinu...	Hourly	Sendai-22.ogg
23:00	Sendai Kai Ni	フタサンマルマル。戻ったけどさ…提督なんでよ？え、母港に私にいてほしい？し、仕方ないな…夜戦…	2300. We're back now, but... why, Admiral? Eh, you want me in port? It can't be helped then... night battles...		Hourly	Sendai-23.ogg
Fall 2019 Event 1	Sendai	三水戦、川内、参上！さあ、みんな、突っ込むよ！	DesRon3, Sendai, has arrived! Come one, everyone, charge!		Battle	Ship_Voice_Sendai_Kai_Ni_Fall_2019_Event_Friend_Fleet_1.mp3
Fall 2019 Event 2	Sendai	川内、参上！やったね！夜戦だよ！いけぇー！	Sendai, has arrived! Alright! It's a night battle! Let's goooooooo!		BattleNight	Ship_Voice_Sendai_Kai_Ni_Fall_2019_Event_Friend_Fleet_2.mp3
Rainy Season 2015	Sendai	梅雨かぁ…艤装が傷むから嫌なんだよねー。でもいっか、夜戦は雨もなにもないしね。	The rainy season… I don’t want to ruin my clothes. But oh well, rain doesn’t affect night battles.		Special	Sendai_Rainy_Secretary_1.ogg
Early Summer 2015	Sendai	夏だぁ！！やったぁ！！夜戦の季節だぁ！！提督、夜戦だよ夜戦！！はやく！！や・せ・ん！！	It’s summer!! Alright!! It’s the season for night battles!! Let’s have a night battle, Admiral!! Hurry!! Let’s. Night. Battle!!		Special	Sendai_Early_Summer_HQ.ogg
3rd Anniversary	Sendai	提督、今日は大事な日じゃん？ねぇ、こんな日は夜戦。そう、夜戦！夜戦しよー！	Isn’t today an important day, Admiral? Hey, let’s night battle today. That’s right, night battle! Let’s night battle~!		Special	Sendai_3rd_Anniversary_Sec1.mp3
Saury Festival 2017	Sendai	秋刀魚漁ね。まあ、夜に明かり付けての仕事だから嫌いじゃないけど…夜はいいよね！やっぱ夜はさぁ！	Saury fishing. Well, I don’t mind having the job of shining a light at night though… Nights are great! It definitely is!		Special	Sendai_Sec1_Saury_2017.mp3
Christmas 2017	Sendai	このケーキ、神通作ったんだぁ…うま。やるなぁ！那珂は…あぁ、歌ってるなぁ。まあ、いいか！今夜はね！	So Jintsuu made this cake… It’s good. Well done! Naka is… Ah, she’s singing. Oh well! Just for tonight!		Special	Sendai_Christmas_Sec1.mp3
End of Year 2017	Sendai	神通、大掃除とか何気にしっきりよな、かったり。あぁ、はいはい、ここね。早く済ませて夜戦したい！	Stop nagging me about spring cleaning, Jintsuu. Ah, yes, yes, here right. I want to hurry up and get it over with so I can night battle!		Special	Sendai_Year_End_2017_Sec1.mp3
5th Anniversary	Sendai	提督、私たちついに五周年じゃん。ねぇ、こんな日は夜戦？そう、夜戦しよう！	It’s finally our 5th Anniversary, Admiral. Hey, shall we night battle tonight? Yeah, let’s have a night battle!		Special	Sendai_5th_Anniversary_Sec1.mp3
Setsubun 2019	Sendai	おぉ、二水戦の鬼は神通なんだ。へぇー。あぁ、うち？うちは誰に・し・よう・かなー。えっと。	Oh, the Oni for DesRon2 is Jintsuu. Hmmm. Ah, me? I wonder what I should dooo. Hmmm.		Special	Sendai_Setsubun_2019_Sec1.mp3
7th Anniversary	Sendai	提督、私たちってさ、もう七周年なんだよ！うん！今夜は絶対夜戦！そう、夜戦しよう！	Admiral, it's our 7th Anniversary! Yup! Let's definitely night battle tonight! Yes, a night battle!		Special	Sendai_7th_Anniversary_Secretary_1.mp3
