Event	Model	Japanese	English	Note	Command	Voice
04:00	Yamato Kai	現在時刻マルヨンマルマルです。提督、そろそろ朝になっちゃいます。	It is now 0400. Admiral, it will soon be morning.		Hourly	Yamato_Kai-04.ogg
05:00	Yamato Kai	提督、マルゴーマルマルです。空が白み始めてきちゃいましたね。	Admiral, 0500. The sky is becoming white now.		Hourly	Yamato_Kai-05.ogg
06:00	Yamato Kai	朝です。マルロクマルマル。提督、朝は本当に御早いですね。	It's Morning. 0600. Admiral, the morning really came quickly, didn't it?		Hourly	Yamato_Kai-06.ogg
07:00	Yamato Kai	マルナナマルマル、朝食の時間。大和ホテル自慢のコンソメ御飲みになります？	0700, Breakfast time. How about some of Hotel Yamato's famous consomme?	The Yamato was used as a meeting place for high-level officers, so she had a very good mess; so good that Yamamoto gained weight from living on the Yamato.	Hourly	Yamato_Kai-07.ogg
08:00	Yamato Kai	現在時刻マルハチマルマルです。連合艦隊旗艦としてそろそろ動きますね。	It is now 0800. The combined fleet will be moving soon.	IJN fleet operations started at 0800.	Hourly	Yamato_Kai-08.ogg
09:00	Yamato Kai	マルキュウマルマルです。提督、今日の作戦行動はどうされますか？	0900. Admiral, how is today's battle mobilization going?		Hourly	Yamato_Kai-09.ogg
10:00	Yamato Kai	提督、他の艦隊の運用はどうされます？時刻は今、ヒトマルマルマルです。	Admiral, how are the other fleets? It is currently 1000.		Hourly	Yamato_Kai-10.ogg
11:00	Yamato Kai	ヒトヒトマルマル。そろそろ昼食の準備をしないと…。何がいいですか？	1100. I have to start preparing for lunch soon... What would be good?		Hourly	Yamato_Kai-11.ogg
12:00	Yamato Kai	ヒトフタマルマル ランチタイムに大和ホテル自慢の…あぁ…ホテルじゃないです	1200. Hotel Yamato's famous lunch time's... wait, I'm not a hotel.		Hourly	Yamato_Kai-12.ogg
13:00	Yamato Kai	ヒトサンマルマル、です。食後は少し眠くなりますね。	It's 1300. You get a bit tired after eating, yes?		Hourly	Yamato_Kai-13.ogg
14:00	Yamato Kai	ヒトヨンマルマルです。ふぁ～…はっ！あ、寝てませんよ！？	1400. Zzz... ah! I-I'm not asleep!		Hourly	Yamato_Kai-14.ogg
15:00	Yamato Kai	ヒトゴーマルマル。提督、ラムネでも飲まれますか？	1500. Admiral, will you have a Ramune?		Hourly	Yamato_Kai-15.ogg
16:00	Yamato Kai	ヒトロクマルマル。そろそろ夕暮れ時ですね。	1600. It's just becoming dusk.		Hourly	Yamato_Kai-16.ogg
17:00	Yamato Kai	ヒトナナマルマル、提督、そろそろ日が暮れて来ました。	1700, Admiral, it's almost time for the sunset.		Hourly	Yamato_Kai-17.ogg
18:00	Yamato Kai	現在時刻ヒトハチマルマルです。今日は半舷上陸にしちゃいます？	It is now 1800. Shall we let half the ship go ashore today?	The ship's crew was divided into port and starboard, with alternating shore leave while docked.	Hourly	Yamato_Kai-18.ogg
19:00	Yamato Kai	ヒトキュウマルマル。艦隊執務はここまでにして、お夕食にしましょう。	1900. The fleet work has ended, let's have dinner.	Non-combat ops in the IJN ended, as a rule, at 1800.	Hourly	Yamato_Kai-19.ogg
20:00	Yamato Kai	フタマルマルマルです。ディナーはフルコースですよー、なんたって大和ホテルの…	2000. Dinner is a full course~, after all, Hotel Yamato's...		Hourly	Yamato_Kai-20.ogg
21:00	Yamato Kai	フタヒトマルマル。提督、大和の居住性、いかがでしょうか？	2100. Admiral, why not partake of Yamato's livability?	Even ratings on the Yamato got a personal locker on board; a rarity in the IJN.	Hourly	Yamato_Kai-21.ogg
22:00	Yamato Kai	現在時刻、フタフタマルマルです。そろそろお風呂タイムかな？	It is now 2200. Time for a bath, yes?		Hourly	Yamato_Kai-22.ogg
23:00	Yamato Kai	時刻はフタサンマルマルです。提督、本日も一日、本当にお疲れ様でした。	It is 2300. Admiral, today, as always, thank you for your hard work.		Hourly	Yamato_Kai-23.ogg
Hinamatsuri 2016	Yamato	提督、ひな祭りですか？あら、かわいい、いいですね。武蔵？何を照れてるの？いいじゃない、ね？	Admiral, is it Hinamatsuri? Oh my, how cute, it's good, isn't? Musashi? Why are you embarrassed? It's good, right?		Special	Yamato_Hinamatsuri_2016.ogg
White Day 2016	Yamato	提督！いいんですか、大和もいただいて？すみません。ありがとうございます。いただきますね。来年は頑張りますから！	Admiral! Is is alright, for Yamato to take these? I'm sorry. Thank you very much. I humbly accept. I'll do my best next year!	Probably talking about their Hina dolls, while Musashi is embarrassed.	Special	Yamato_White_Day_2016.ogg
Spring 2016	Yamato	もうすぐ春…か。うふふっ。桜を見ると不思議な気持ちになるわ、不思議。え？これは、涙？なんで…？	Spring is just around the corner, huh... Ufufu. Watching the cherry blossoms really gives me a mysterious feeling. Eh? These are... tears? Why...?		Special	Yamato_Spring_2016.ogg
Third Anniversary 2016	Yamato	提督、艦隊は三周年を迎えました。おめでとうございます。大和も、大和も嬉しいです！ラムネで、乾杯しましょう！	Admiral, our fleet has reached its third year. Congratulations. I, Yamato... I am so happy for this occassion! Let's make a toast with some Ramune.	It seems she remembers Operation Ten-Go. She went to Okinawa in Apr 6, 1945. On the other side, it could be a hay fever.	Special	Yamato_Third_Anniversary.ogg
Rainy Season 2016	Yamato	Iowaさん？ あ、かわいいですね、そのてるてる坊主。ねぇ、よかったら一緒に作りましょう。大和のはね、ここをこうして…。	Iowa-san? Ah, isn't that teru-teru bouzu cute? Say, would you like to make one together? For the ones I make, it goes like...		Special	Yamato_Rainy_Season_2016.ogg
Mid-Summer 2016	Yamato	提督、そんなに見ないでください！赤と白で少し派手だったかしら…そっ、そうですか？なら、よかったです。提督、ご一緒に。	Admiral, don't stare that much! Red and white is a little flashy isn't it... I-is that so? Then, that's good. Admiral, together then.		Special	Yamato_Mid-Summer_2016.ogg
Final Battle 2018	Yamato	主砲、諸元修正急いで下さい。戦艦大和、全主砲、全力射撃、行きます。ってー！	Main guns, please hurry up with a firing solution. Battleship Yamato, opening fire with all guns. Fire!	Friendly Fleet line	Special	Yamato_FriendFleet.mp3
3rd Anniversary	Yamato	提督、艦隊は三周年を迎えました。おめでとうございます！大和も、大和も嬉しいです！ラムネで、乾杯しましょう♪	The fleet’s 3rd Anniversary is here, Admiral. Congratulations! I’m, I’m happy! Let’s have a toast with ramune♪		Special	Yamato_3rd_Anniversary_Sec1.mp3
Autumn 2016	Yamato	提督、秋ですね。秋は食べ物が美味しい季節。私も、新しいフルコース考えちゃいますね！	It’s autumn, Admiral. Autumn is the season of delicious food. I’ve got a new full course thought up too!		Special	Yamato_Autumn_2016_Sec1.mp3
Saury Festival 2016	Yamato	秋刀魚？秋刀魚漁支援ですか？了解しました。この戦艦大和、北方海域に向かいましょう！	Saury? Support for saury fishing? Roger that. Battleship Yamato, heading to the Northern Waters!		Special	Yamato_Sec1_Saury_2016.mp3
Christmas 2016	Yamato	メリークリスマス！提督、大和烹炊所フルパワーでクリスマススペシャルディナーをご用意しました。七面鳥も焼き上がりましたよ。あ、あれ？瑞鶴さん？	Merry Christmas! I’ve used the full power of my galley to make a special Christmas dinner, Admiral. I’ve even roasted a turkey. H-huh? Zuikaku?		Special	Yamato_Christmas_2016_Sec1.mp3
End of Year 2016	Yamato	鳳翔さん、これわどこしまえば…あぁ、そこですね？了解です。はぁ、大掃除は大変。提督は大和に任せて、ゆっくりしてくださいね？	Where should I put this, Houshou-san… Ah, over there? Roger. Whew, spring cleaning is hard work. Please leave this to me and get a good rest alright, Admiral?		Special	Yamato_End_Of_Year_2016_Sec1.mp3
New Year 2017	Yamato	提督、新年あけましておめでとうございます。本年も大和と第一戦隊をどうぞよろしくおねがいします。さあ、いきましょう。	Happy New Year, Admiral. Please look after the 1st Fleet and I this year too. Now, let’s go.		Special	Yamato_New_Year_2017_sec1.mp3
Valentine’s Day 2017	Yamato	よーし、大和の烹炊所フル活用しちゃった。チョコレットの前菜に、チョコスープ、メーンヂイシュはステーキのチョコレットソース掛け。	Alright, I made full use of my galley. Chocolate appetizers, chocolate soup and steak with chocolate sauce as a main dish.		Special	Yamato_Valentine_Sec1.ogg
4th Anniversary	Yamato	提督、艦隊はついに四周年を迎えました！感謝ですね。大和も本当に嬉しいです。ラムネで…いえ、フルコースでお祝いしましょう！	The fleet has finally reached it’s 4th Anniversary, Admiral! Thank you. I’m really happy too. Let’s celebrate with Ramune… No, with a full course!		Special	Yamato_4th_Anniversary_Sec1_2017.mp3
Rainy Season 2017	Yamato	瑞雲…祭りですか、日向さん? はい、大和にも確かにそういった計画もあったのですが… えぇ、それとは、違う?	A Zuiun… Festival, Hyuuga-san? Yes, I recall I had plans for something like that too… Eh, that’s different?	Secretary 2. Zuiun Festival line.	Special	Yamato_Rainy_Season_Sec2_2017.mp3
Early Summer 2017	Yamato	提督、少し厚くなってきましたね。今年も夏がくるですね。えぇ、水着ですか？あぁ、はい。一応武蔵と一緒に買ってあって。	It’s gotten a bit hotter, Admiral. Summer is here again this year. Eh, a swimsuit? Ah, yes. I went and bought one with Musashi just in case.		Special	Yamato_Sec1_Summer_2017.mp3
Late Autumn 2017	Yamato	武蔵？どうしたの？寒いの？機関部の調子でを悪いの？そう、ならいいけれど。何かあったら、お姉さんを相談してね？	Musashi? What’s wrong? Are you cold? Is there something wrong with your engine room? I see, that’s good then. Let me know if you need anything alright?		Special	Yamato_Late_Autumn_2017_Sec1.mp3
Valentine’s Day 2018	Yamato	もちろんデザートは、大和特製ハート型チョコケーキ。よし、完璧！さあ、提督をお呼びしましょう。提督！提督ー！あれ、提督？	Of course it’ll be my special heart-shaped chocolate cake for desert. Alright, it’s done! Now to call the Admiral. Admiral! Admiraaal! Huh, Admiral?		Special	Yamato_Valentines_2018_Sec_2.mp3
5th Anniversary	Yamato	提督、艦隊はついに五周年を迎えました。おめでとうございます。大和も本当に感謝です。ラムネで…いえ、ワインとフルコースお祝いしましょう。	The fleet is celebrating it’s 5th Anniversary, Admiral. Congratulations. I am truly grateful. Let’s celebrate with raumube… No, with wine and a full course meal.		Special	Yamato_5th_Anniversary_Sec1.mp3
6th Anniversary	Yamato	提督、艦隊はついに六周年を迎えました。本当におめでとうございます。感謝ですね。大和も嬉しいです。お祝いのフルコース 、腕によりをかけて、ご用意しますね。	Admiral, the fleet has reached it's 6th Anniversary. My sincerest congratulations. I'm grateful. I'm happy too. I'll put my all into making a celebratory full course.        		Special	Yamato_6th_Anniversary_Sec2.mp3
7th Anniversary	Yamato	提督、艦隊は、ついに七周年を迎えました。おめでとうございます！七年、考え深いですね？大和ラムネで…いえ、とっておきなワインで乾杯しましょう！	Admiral, the fleet's 7th Anniversary is finally her. Congratulations! Shall we look back on these past 7 years? Let's have a toast with some Yamato Ramune... No, with a special reserve!		Special	Yamato_7th_Anniversary_Secretary_2.mp3
