Event	Model	Japanese	English	Note	Command	Voice
14:00	Akizuki	ヒトヨンマルマルです。初月、元気かなぁ…あ、司令。午後も頑張りましょう！	1400. I wonder how Hatsuzuki is... Ah, Commander. Let's do our best in the afternoon too!		Hourly	Akizuki-14.ogg
15:00	Akizuki	ヒトゴーマルマルです。あ、はい。明石さんにもとってもお世話になりました。	1500. Ah, yes. I've been in the care of Akashi-san.		Hourly	Akizuki-15.ogg
16:00	Akizuki	ヒトロクマルマルです。はい、後部にも高射装置を付けましたから、もう万全です！	1600. Yes, I've attached an anti-air fire director on the stern as well. It's perfect!		Hourly	Akizuki-16.ogg
17:00	Akizuki	ヒトナナマルマルをご報告します。日が落ちますから、対空警戒もここまでですね。	It's the 1700 report. The sun is setting, so the anti-aircraft watch is ending.		Hourly	Akizuki-17.ogg
18:00	Akizuki	ヒトハチマルマルとなりました。はい、夕食の準備、秋月、豪華に頑張ります！	It is now 1800. Yes, Akizuki will do her best to prepare a wonderful dinner!		Hourly	Akizuki-18.ogg
19:00	Akizuki	ヒトキュウマルマルです！　熱々の麦飯、沢庵、そして牛缶に、お味噌汁も♪　どう？	1900! Piping hot barley and rice, pickled radish, also canned beef, and miso soup♪ How is it?	*Although more along the lines of an ordinary meal today, this would be considered extravagant due to low food supply. See 12:00 note	Hourly	Akizuki-19.ogg
20:00	Akizuki	フタマルマルマル。はい、秋月、今日はすこし奮発してしまいました。どうでした？	2000. Yes, today, I pushed myself a bit extra. How was I?		Hourly	Akizuki-20.ogg
21:00	Akizuki	フタヒトマルマルです。え、涼月ですか？　はい、自慢の妹ですよ。ええ！	2100. Eh, Suzutsuki? Yes, she's a little sister I'm proud of. Ei!		Hourly	Akizuki-21.ogg
22:00	Akizuki	フタフタマルマル。あ、翔鶴さん、瑞鶴さん。お疲れ様です。はい、大丈夫です！	2200. Ah, Shoukaku-san, Zuikaku-san. Good work. Yes, I'm alright!		Hourly	Akizuki-22.ogg
23:00	Akizuki	フタサンマルマル。少し、緊張しました。はぁ…司令、本日も大変お疲れ様でした。	2300. I was a bit nervous. Haa... Commander, very good work today.		Hourly	Akizuki-23.ogg
Summer 2019 Event	Akizuki	秋月、推参。突入了解。やらせませ！	Akizuki has arrived. Understood, charging in. I won't let them beat me!		BattleDay	Ship_Voice_Akizuki_Kai_Summer_2019_Event_Friend_Fleet_1.mp3
Christmas 2014	Akizuki	メリー・クリスマスです、司令！秋月、七面鳥を焼いたんですよ。あっ、だめっ！？何で！？	Merry Christmas, Commander! I roasted a turkey! Ah, I shouldn’t have!? Why!?		Special	Akizuki_christmas2014.ogg
New Year 2015	Akizuki	あけましておめでとうございます、司令！本年も、どうぞよろしくお願い致します！	Happy New Year, Commander! Please treat me well this year too!		Special	Akizuki_2015newyear.ogg
2nd Anniversary	Akizuki	二周年おめでとうございます司令！これからも秋月、艦隊防空がんばります！	Congratulations on the 2nd anniversary, Commander! I’ll continue to work hard doing fleet air defense!		Special	221_Akizuki_2ndAnniv.mp3
3rd Anniversary	Akizuki	アーケード？司令、アーケードって何ですか？…ふむふむ。秋月、勉強になります！	Arcade? What’s an “arcade”, Commander? …I see, I see. I learned something!		Special	Akizuki_3rd_Anniversary_Sec1.mp3
Autumn 2019	Akizuki	秋月、鎮守府秋祭り、全力で参加します。テルちゃん、ハツちゃん、司令、一緒に行きましょう！	I, Akizuki, will be giving my all for the Naval District Autumn Festival. Teru, Hatsu, Commander, let's go together!		Special	Akizuki_Autumn_2019_Sec1.mp3
Saury 2019	Akizuki	秋月、秋刀魚漁場の保護と秋刀魚漁支援、全力で事を当たります。そうです、やらせませ！	I'll do my best to protect the saury fisheries and support the saury fishing. That's right, leave it to me!		Special	Akizuki_Saury_2019_Sec1.mp3
7th Anniversary	Akizuki	今日は大切な日ですね。大丈夫、秋月もご一緒します、司令。秋月も嬉しいです。	Today is an important day. Don't worry, I'll be by your side, Commander. I'm happy too.		Special	Akizuki_7th_Anniversary_Secretary_1.mp3
